sample	unit	fq1	fq2
CTCF1	1	../raw/H0J4TADXX_2_CTTGTA_R1.fastq.gz	../raw/H0J4TADXX_2_CTTGTA_R2.fastq.gz
CTCF1	2	../raw/H0J5FADXX_1_CTTGTA_R1.fastq.gz	../raw/H0J5FADXX_1_CTTGTA_R2.fastq.gz
CTCF1	3	../raw/H0J5FADXX_2_CTTGTA_R1.fastq.gz	../raw/H0J5FADXX_2_CTTGTA_R2.fastq.gz
CTCF2	1	../raw/H0J4TADXX_2_ATGTCA_R1.fastq.gz	../raw/H0J4TADXX_2_ATGTCA_R2.fastq.gz
CTCF2	2	../raw/H0J5FADXX_1_ATGTCA_R1.fastq.gz	../raw/H0J5FADXX_1_ATGTCA_R2.fastq.gz
CTCF2	3	../raw/H0J5FADXX_2_ATGTCA_R1.fastq.gz	../raw/H0J5FADXX_2_ATGTCA_R2.fastq.gz
CTCF3	1	../raw/H0J4TADXX_2_CCGTCC_R1.fastq.gz	../raw/H0J4TADXX_2_CCGTCC_R2.fastq.gz
CTCF3	2	../raw/H0J5FADXX_1_CCGTCC_R1.fastq.gz	../raw/H0J5FADXX_1_CCGTCC_R2.fastq.gz
CTCF3	3	../raw/H0J5FADXX_2_CCGTCC_R1.fastq.gz	../raw/H0J5FADXX_2_CCGTCC_R2.fastq.gz
Ctrl1	1	../raw/H0J4TADXX_2_CGATGT_R1.fastq.gz	../raw/H0J4TADXX_2_CGATGT_R2.fastq.gz
Ctrl1	2	../raw/H0J5FADXX_1_CGATGT_R1.fastq.gz	../raw/H0J5FADXX_1_CGATGT_R2.fastq.gz
Ctrl1	3	../raw/H0J5FADXX_2_CGATGT_R1.fastq.gz	../raw/H0J5FADXX_2_CGATGT_R2.fastq.gz
Ctrl2	1	../raw/H0J4TADXX_2_TGACCA_R1.fastq.gz	../raw/H0J4TADXX_2_TGACCA_R2.fastq.gz
Ctrl2	2	../raw/H0J5FADXX_1_TGACCA_R1.fastq.gz	../raw/H0J5FADXX_1_TGACCA_R2.fastq.gz
Ctrl2	3	../raw/H0J5FADXX_2_TGACCA_R1.fastq.gz	../raw/H0J5FADXX_2_TGACCA_R2.fastq.gz
Ctrl3	1	../raw/H0J4TADXX_2_GCCAAT_R1.fastq.gz	../raw/H0J4TADXX_2_GCCAAT_R2.fastq.gz
Ctrl3	2	../raw/H0J5FADXX_1_GCCAAT_R1.fastq.gz	../raw/H0J5FADXX_1_GCCAAT_R2.fastq.gz
Ctrl3	3	../raw/H0J5FADXX_2_GCCAAT_R1.fastq.gz	../raw/H0J5FADXX_2_GCCAAT_R2.fastq.gz